Satellite,Timestamp (UTC),Doppler Shift (Hz),Azimuth (deg),Elevation (deg),Distance (km)
STARLINK-32362,2026-06-08T18:09:12Z,-8570.355744511919,257.1581608105761,47.97448250343199,50898220916.60828
STARLINK-32362,2026-06-08T18:09:13Z,-8883.075104800873,262.44126483342075,46.962809091822066,50894701743.100914
STARLINK-32362,2026-06-08T18:09:14Z,-9156.948920066092,272.27468723167607,44.27890339938269,50898341826.50464
STARLINK-32362,2026-06-08T18:09:14Z,-9392.850226568886,272.27468723167607,44.27890339938269,50898341826.50464
STARLINK-32362,2026-06-08T18:09:15Z,-9589.785091812542,276.8270605102925,42.64127618585744,50905452551.2758
STARLINK-32362,2026-06-08T18:09:16Z,-9747.795433383773,282.5916967915304,40.15972765790611,50920610696.35442
STARLINK-32362,2026-06-08T18:09:16Z,-9792.811883917982,282.5916967915304,40.15972765790611,50920610696.35442
STARLINK-32362,2026-06-08T18:09:19Z,-9127.33006219294,281.29409576049096,40.753503348429994,50916526795.42029
STARLINK-32362,2026-06-08T18:09:19Z,-9753.292877458485,281.29409576049096,40.753503348429994,50916526795.42029
STARLINK-32362,2026-06-08T18:09:20Z,-9753.919775488343,281.30779904503146,40.74604954655633,50916566606.75894
STARLINK-32362,2026-06-08T18:09:21Z,-9797.622990598995,279.2525433138852,41.643300909854155,50910925105.88043
STARLINK-32362,2026-06-08T18:09:21Z,-9683.992526817035,279.2525433138852,41.643300909854155,50910925105.88043
STARLINK-32362,2026-06-08T18:09:24Z,-9093.738729090335,266.19836236022843,46.04279173337728,50894538368.07304
STARLINK-32362,2026-06-08T18:09:25Z,-9759.092869544527,281.49386642851067,40.651565951259116,50917116410.269424
STARLINK-32362,2026-06-08T18:09:25Z,-9761.365587886465,281.49386642851067,40.651565951259116,50917116410.269424
STARLINK-32362,2026-06-08T18:09:26Z,-8667.020644225944,258.6603871747988,47.68369380092219,50897143518.21376
STARLINK-32362,2026-06-08T18:09:27Z,-8965.547366617495,268.81913156421797,45.31900914091387,50895529551.416115
STARLINK-32362,2026-06-08T18:09:27Z,-9230.437820165316,268.81913156421797,45.31900914091387,50895529551.416115
STARLINK-32362,2026-06-08T18:09:28Z,-9456.58110374548,273.5771384338433,43.80930109373964,50900063941.8282
STARLINK-32362,2026-06-08T18:09:29Z,-9641.988717668575,282.2694164995548,40.28647660929567,50919524187.754166
STARLINK-32362,2026-06-08T18:09:29Z,-9786.643963069939,282.2694164995548,40.28647660929567,50919524187.754166
STARLINK-32362,2026-06-08T18:09:30Z,-8281.008013151935,252.484096324422,48.598209810548795,50904546096.04646
STARLINK-32362,2026-06-08T18:09:31Z,-9670.333259454655,279.59121467172474,41.48003074901565,50911788666.81266
STARLINK-32362,2026-06-08T18:09:31Z,-9698.965717382429,279.59121467172474,41.48003074901565,50911788666.81266
STARLINK-32362,2026-06-08T18:09:33Z,-9620.92204550871,277.47318830993333,42.35000004128223,50906828550.393745
STARLINK-32362,2026-06-08T18:09:34Z,-9203.766422048582,282.4489733355192,40.19256614519405,50920089125.65333
STARLINK-32362,2026-06-08T18:09:34Z,-9793.496587211448,282.4489733355192,40.19256614519405,50920089125.65333
STARLINK-32362,2026-06-08T18:09:35Z,-9773.560691766505,281.79322654053817,40.495944359870094,50918010723.84828
STARLINK-32362,2026-06-08T18:09:36Z,-9677.772602642019,279.72350555167316,41.4131184664933,50912130853.23072
STARLINK-32362,2026-06-08T18:09:36Z,-9705.156714289775,279.72350555167316,41.4131184664933,50912130853.23072
STARLINK-32362,2026-06-08T18:09:37Z,-8058.102219703865,249.10093615801233,48.93560368129561,50910562765.97051
STARLINK-32362,2026-06-08T18:09:38Z,-8422.305282958925,259.9627833182615,47.412706119100676,50896409479.56121
STARLINK-32362,2026-06-08T18:09:38Z,-8749.37777416787,259.9627833182615,47.412706119100676,50896409479.56121
STARLINK-32362,2026-06-08T18:09:39Z,-9041.95134140097,265.1289142355314,46.279305398986594,50894648615.50311
STARLINK-32362,2026-06-08T18:09:40Z,-9295.147043240282,274.70157507430656,43.38591362543923,50901773621.47833
STARLINK-32362,2026-06-08T18:09:40Z,-9509.813545150771,274.70157507430656,43.38591362543923,50901773621.47833
STARLINK-32362,2026-06-08T18:09:41Z,-9686.022368839069,279.1476998396096,41.648931482740856,50910672931.83331
STARLINK-32362,2026-06-08T18:09:42Z,-9736.458384066615,280.59195665896885,41.024744713946575,50914469549.64116
STARLINK-32362,2026-06-08T18:09:44Z,-9007.821157433233,264.4662427262532,46.42852851005847,50894753577.84306
STARLINK-32362,2026-06-08T18:09:45Z,-9690.898825768745,279.2510571586945,41.59762476842674,50910930431.43878
STARLINK-32362,2026-06-08T18:09:46Z,-9691.544529658398,280.7054239670516,40.965700275885965,50914782696.45821
