Satellite,Timestamp (UTC),Doppler Shift (Hz),Azimuth (deg),Elevation (deg),Distance (km),Timestamp
STARLINK-34311,2026-06-08T18:13:13Z,-9780.638646176834,238.3001687539989,28.89139686764519,400659208753.19147,2026-06-08 18:13:13+00:00
STARLINK-34311,2026-06-08T18:13:14Z,8234.115835506585,56.32269070730498,41.09809881733848,396992506618.6798,2026-06-08 18:13:14+00:00
STARLINK-34311,2026-06-08T18:13:15Z,4011.314976590816,61.289501646844606,-69.61353683657887,398761334798.3104,2026-06-08 18:13:15+00:00
STARLINK-34311,2026-06-08T18:13:16Z,-11072.130104985894,237.51039828361644,-1.2991857854170863,401219547170.16925,2026-06-08 18:13:16+00:00
STARLINK-34311,2026-06-08T18:13:17Z,3285.1577503906847,53.29121143905802,71.81549104294184,397793462213.828,2026-06-08 18:13:17+00:00
STARLINK-34311,2026-06-08T18:13:18Z,8714.37582409329,58.680435583770056,-39.02017484471109,397652928031.0372,2026-06-08 18:13:18+00:00
STARLINK-34311,2026-06-08T18:13:19Z,-9361.754101160042,236.6949438389113,-31.44783423295235,401175449348.6513,2026-06-08 18:13:19+00:00
STARLINK-34311,2026-06-08T18:13:20Z,-2559.84675502107,243.8622522317549,77.456061833978,398932166155.0258,2026-06-08 18:13:20+00:00
STARLINK-34311,2026-06-08T18:13:21Z,10990.293525804072,57.76010344372498,-8.262668290443166,396921955057.5433,2026-06-08 18:13:21+00:00
STARLINK-34311,2026-06-08T18:13:22Z,-5107.176769839499,234.9577424493426,-61.63579595949095,400538941328.4369,2026-06-08 18:13:22+00:00
STARLINK-34311,2026-06-08T18:13:23Z,-7667.502889755634,239.07494636353445,47.097062402390826,400090652733.5234,2026-06-08 18:13:23+00:00
STARLINK-34311,2026-06-08T18:13:24Z,10166.554319916457,56.980290979084906,22.56443582270379,396775585754.49146,2026-06-08 18:13:24+00:00
STARLINK-34311,2026-06-08T18:13:25Z,560.7858857351241,92.6261481154378,-87.54863075403367,399481984231.74817,2026-06-08 18:13:25+00:00
STARLINK-34311,2026-06-08T18:13:26Z,-10656.42665565152,237.9981152642501,16.851315054981217,400950546568.05286,2026-06-08 18:13:26+00:00
STARLINK-34311,2026-06-08T18:13:27Z,6471.855645538933,55.67489016260574,53.35663300259736,397255540576.3622,2026-06-08 18:13:27+00:00
STARLINK-34311,2026-06-08T18:13:28Z,6104.242129499619,59.79248468069376,-57.45407405743718,398293281900.7164,2026-06-08 18:13:28+00:00
STARLINK-34311,2026-06-08T18:13:29Z,-10745.83056353152,237.2447906869404,-13.304827378647484,401278869136.9918,2026-06-08 18:13:29+00:00
STARLINK-34311,2026-06-08T18:13:30Z,971.9025270059932,44.18958122779356,83.90528915401345,398225332367.1793,2026-06-08 18:13:30+00:00
STARLINK-34311,2026-06-08T18:13:31Z,9972.079661759191,58.30162304109189,-26.79062445347133,397302442323.8712,2026-06-08 18:13:31+00:00
STARLINK-34311,2026-06-08T18:13:32Z,-7924.6104878451715,236.2424483587256,-43.45319944106408,400987514448.35474,2026-06-08 18:13:32+00:00
STARLINK-34311,2026-06-08T18:13:33Z,-4771.51353394702,240.6939454036612,65.3698518339066,399411939969.75903,2026-06-08 18:13:33+00:00
STARLINK-34311,2026-06-08T18:13:34Z,11046.064552481106,57.49442275553359,3.99870582291966,396788256065.1519,2026-06-08 18:13:34+00:00
STARLINK-34311,2026-06-08T18:13:35Z,-2940.7027875043204,232.73150056194132,-73.65520252639371,400154969972.5749,2026-06-08 18:13:35+00:00
STARLINK-34311,2026-06-08T18:13:36Z,-9174.180667762172,238.60078705669383,35.05416489145076,400486248756.54565,2026-06-08 18:13:36+00:00
STARLINK-34311,2026-06-08T18:13:37Z,9000.20083693641,56.6091478355156,34.81746107935878,396896856463.6692,2026-06-08 18:13:37+00:00
STARLINK-34311,2026-06-08T18:13:38Z,2873.4282977991384,63.2724709742976,-75.81566735056113,399006870696.5283,2026-06-08 18:13:38+00:00
STARLINK-34311,2026-06-08T18:13:39Z,-11061.99782880244,237.7300855524632,4.860145921849198,401154946212.1877,2026-06-08 18:13:39+00:00
STARLINK-34311,2026-06-08T18:13:40Z,4421.401429791261,54.45683386900837,65.55414138879024,397597294366.5773,2026-06-08 18:13:40+00:00
STARLINK-34311,2026-06-08T18:13:41Z,7922.601189859792,59.06384664213463,-45.29247226341737,397858481812.986,2026-06-08 18:13:41+00:00
STARLINK-34311,2026-06-08T18:13:42Z,-9950.707671134438,236.9387484357735,-25.275109053180145,401237732830.437,2026-06-08 18:13:42+00:00
